trial_number,block,phase,command,frequency_hz,planned_duration_s,onset_perf_s,onset_utc,actual_duration_s,rendered_frames,observed_flicker_hz
0,0,preparation,,,8.0,1.1800000720540993e-05,2026-09-11T21:37:45.063205+00:00,8.002898599999753,,
1,1,planning,left,20.0,2.0,8.002919399999882,2026-09-11T21:37:53.066006+00:00,2.0073778000005404,,
1,1,action,left,20.0,5.0,10.010305899999366,2026-09-11T21:37:55.074010+00:00,5.007959399999891,563,"{""backward"": 15.87472933586517, ""forward"": 7.887444135429864, ""left"": 19.868371936082823, ""right"": 11.881086735647518}"
1,1,rest,left,20.0,3.0,15.018286399999852,2026-09-11T21:38:00.081729+00:00,3.0119087000002764,,
2,1,planning,right,12.0,2.0,18.030203000000256,2026-09-11T21:38:03.093706+00:00,2.0124457999991137,,
2,1,action,right,12.0,5.0,20.042654799999582,2026-09-11T21:38:05.106000+00:00,5.006918700000824,551,"{""backward"": 15.878028936237154, ""forward"": 7.889083559514058, ""left"": 19.8725016245987, ""right"": 11.883556247875605}"
2,1,rest,right,12.0,3.0,25.04958980000083,2026-09-11T21:38:10.113242+00:00,3.009683700000096,,
3,1,planning,forward,8.0,2.0,28.059289500000887,2026-09-11T21:38:13.122704+00:00,2.001086700000087,,
3,1,action,forward,8.0,5.0,30.060385400000087,2026-09-11T21:38:15.123613+00:00,5.00791609999942,566,"{""backward"": 15.874866593713342, ""forward"": 7.887512332725497, ""left"": 19.868543724207264, ""right"": 11.88118946321942}"
3,1,rest,forward,8.0,3.0,35.068328699999256,2026-09-11T21:38:20.132058+00:00,3.00925400000051,,
4,1,planning,backward,16.0,2.0,38.077590200000486,2026-09-11T21:38:23.141290+00:00,2.0159793000002537,,
4,1,action,backward,16.0,5.0,40.093593900001,2026-09-11T21:38:25.156964+00:00,5.00492309999936,560,"{""backward"": 15.884359941516419, ""forward"": 7.892229153332057, ""left"": 19.8804253356086, ""right"": 11.888294547424238}"
4,1,rest,backward,16.0,3.0,45.098529200000485,2026-09-11T21:38:30.161918+00:00,3.0069628999990528,,
5,2,planning,right,12.0,2.0,48.105499999999665,2026-09-11T21:38:33.168937+00:00,2.0020502999996097,,
5,2,action,right,12.0,5.0,50.10755760000029,2026-09-11T21:38:35.171259+00:00,5.004758400000355,565,"{""backward"": 15.884882674854865, ""forward"": 7.892488876185751, ""left"": 19.88107957418942, ""right"": 11.888685775520308}"
5,2,rest,right,12.0,3.0,55.112331899999845,2026-09-11T21:38:40.175629+00:00,3.0149402000006376,,
6,2,planning,backward,16.0,2.0,58.12731510000049,2026-09-11T21:38:43.190273+00:00,2.00179720000051,,
6,2,action,backward,16.0,5.0,60.1291197999999,2026-09-11T21:38:45.192427+00:00,5.005831399999806,561,"{""backward"": 15.881477750130193, ""forward"": 7.89079712113387, ""left"": 19.876818064628356, ""right"": 11.886137435632032}"
6,2,rest,backward,16.0,3.0,65.13496330000089,2026-09-11T21:38:50.197880+00:00,3.0021698999989894,,
7,2,planning,left,20.0,2.0,68.13714029999937,2026-09-11T21:38:53.200340+00:00,2.004622600001312,,
7,2,action,left,20.0,5.0,70.14177089999976,2026-09-11T21:38:55.205186+00:00,5.00809289999961,556,"{""backward"": 15.874306165527837, ""forward"": 7.887233880985529, ""left"": 19.86784230779899, ""right"": 11.880770023256684}"
7,2,rest,left,20.0,3.0,75.14987909999945,2026-09-11T21:39:00.213693+00:00,3.011321699999826,,
8,2,planning,forward,8.0,2.0,78.16121399999975,2026-09-11T21:39:03.225030+00:00,2.009974399999919,,
8,2,action,forward,8.0,5.0,80.17119679999996,2026-09-11T21:39:05.234224+00:00,5.000945600000705,558,"{""backward"": 15.896993560575583, ""forward"": 7.898506234499818, ""left"": 19.896237223613465, ""right"": 11.8977498975377}"
8,2,rest,forward,8.0,3.0,85.1721589000008,2026-09-11T21:39:10.235098+00:00,3.004469399998925,,
9,3,planning,right,12.0,2.0,88.17663469999934,2026-09-11T21:39:13.240174+00:00,2.0104767000011634,,
9,3,action,right,12.0,5.0,90.18712650000089,2026-09-11T21:39:15.250800+00:00,5.000166099998751,553,"{""backward"": 15.899471819550127, ""forward"": 7.899737570719874, ""left"": 19.899338943965255, ""right"": 11.899604695135}"
9,3,rest,right,12.0,3.0,95.18730549999964,2026-09-11T21:39:20.250562+00:00,3.0073560000000725,,
10,3,planning,forward,8.0,2.0,98.19470000000001,2026-09-11T21:39:23.258210+00:00,2.011271900000793,,
10,3,action,forward,8.0,5.0,100.20598830000017,2026-09-11T21:39:25.269335+00:00,5.007743800000753,533,"{""backward"": 15.875412795676176, ""forward"": 7.887783716090679, ""left"": 19.669536608479287, ""right"": 11.881598255883429}"
10,3,rest,forward,8.0,3.0,105.21375140000055,2026-09-11T21:39:30.276955+00:00,3.002356499999223,,
11,3,planning,left,20.0,2.0,108.21611379999922,2026-09-11T21:39:33.279798+00:00,2.0003888000010193,,
11,3,action,left,20.0,5.0,110.2165141000005,2026-09-11T21:39:35.279855+00:00,5.00518220000049,566,"{""backward"": 15.883537666219665, ""forward"": 7.891820601455054, ""left"": 19.87939619860197, ""right"": 11.88767913383736}"
11,3,rest,left,20.0,3.0,115.22170969999934,2026-09-11T21:39:40.285275+00:00,3.010980200000631,,
12,3,planning,backward,16.0,2.0,118.23269749999963,2026-09-11T21:39:43.296173+00:00,2.0017337999997835,,
12,3,action,backward,16.0,5.0,120.2344379999995,2026-09-11T21:39:45.297847+00:00,5.007096700001057,570,"{""backward"": 15.877464479562223, ""forward"": 7.888803106197582, ""left"": 19.871795166244542, ""right"": 11.883133792879901}"
12,3,rest,backward,16.0,3.0,125.24155450000035,2026-09-11T21:39:50.304988+00:00,3.005532699999094,,
13,4,planning,left,20.0,2.0,128.24709649999932,2026-09-11T21:39:53.310617+00:00,2.005488000000696,,
13,4,action,left,20.0,5.0,130.25261409999985,2026-09-11T21:39:55.315570+00:00,5.007546099999672,566,"{""backward"": 15.876039563570908, ""forward"": 7.888095129069822, ""left"": 19.87001178082145, ""right"": 11.882067346320365}"
13,4,rest,left,20.0,3.0,135.2601737999994,2026-09-11T21:40:00.322979+00:00,3.006888700001582,,
14,4,planning,backward,16.0,2.0,138.2670720999995,2026-09-11T21:40:03.330646+00:00,2.01379900000029,,
14,4,action,backward,16.0,5.0,140.28087849999974,2026-09-11T21:40:05.344461+00:00,5.006532499999594,575,"{""backward"": 15.87925375497042, ""forward"": 7.889692117249455, ""left"": 19.874034573830905, ""right"": 11.884472936109939}"
14,4,rest,backward,16.0,3.0,145.28742919999968,2026-09-11T21:40:10.350975+00:00,3.009424800000488,,
15,4,planning,forward,8.0,2.0,148.29686100000072,2026-09-11T21:40:13.360529+00:00,2.008940599998823,,
15,4,action,forward,8.0,5.0,150.30580630000077,2026-09-11T21:40:15.369446+00:00,5.006371100000251,572,"{""backward"": 15.879765684968103, ""forward"": 7.889946472405535, ""left"": 19.874675291249385, ""right"": 11.884856078686818}"
15,4,rest,forward,8.0,3.0,155.31222100000014,2026-09-11T21:40:20.375371+00:00,3.0004129000008106,,
16,4,planning,right,12.0,2.0,158.31266780000078,2026-09-11T21:40:23.375723+00:00,2.0041528000001563,,
16,4,action,right,12.0,5.0,160.3168265000004,2026-09-11T21:40:25.380499+00:00,5.004601399999956,578,"{""backward"": 15.885381001572014, ""forward"": 7.892736472479177, ""left"": 19.881703266118432, ""right"": 11.889058737025595}"
16,4,rest,right,12.0,3.0,165.32144399999925,2026-09-11T21:40:30.385163+00:00,3.009044000000358,,
17,5,planning,backward,16.0,2.0,168.3304938000001,2026-09-11T21:40:33.393987+00:00,2.0019991000008304,,
17,5,action,backward,16.0,5.0,170.33249969999997,2026-09-11T21:40:35.396199+00:00,5.004753499999424,588,"{""backward"": 15.884898227257176, ""forward"": 7.892496603479981, ""left"": 19.881099039145774, ""right"": 11.88869741536858}"
17,5,rest,backward,16.0,3.0,175.33727139999974,2026-09-11T21:40:40.400956+00:00,3.0048614000006637,,
18,5,planning,forward,8.0,2.0,178.34214500000053,2026-09-11T21:40:43.405419+00:00,2.001283699999476,,
18,5,action,forward,8.0,5.0,180.34344280000005,2026-09-11T21:40:45.406448+00:00,5.002113399999871,585,"{""backward"": 15.893282227468504, ""forward"": 7.8966622388051055, ""left"": 19.891592221800202, ""right"": 11.894972233136805}"
18,5,rest,forward,8.0,3.0,185.34556859999975,2026-09-11T21:40:50.408529+00:00,3.006385399999999,,
19,5,planning,right,12.0,2.0,188.35195890000068,2026-09-11T21:40:53.415652+00:00,2.000278299999991,,
19,5,action,right,12.0,5.0,190.35223960000076,2026-09-11T21:40:55.415984+00:00,5.01127009999982,591,"{""backward"": 15.864241681964591, ""forward"": 7.882233288523287, ""left"": 19.855245878685242, ""right"": 11.873237485243939}"
19,5,rest,right,12.0,3.0,195.36356540000088,2026-09-11T21:41:00.426807+00:00,3.0067732999996224,,
20,5,planning,left,20.0,2.0,198.370344500001,2026-09-11T21:41:03.433886+00:00,2.0067269999999553,,
20,5,action,left,20.0,5.0,200.37708320000092,2026-09-11T21:41:05.440290+00:00,5.009184799999275,591,"{""backward"": 15.87084589093449, ""forward"": 7.885514625055501, ""left"": 19.863511523873985, ""right"": 11.878180257994995}"
20,5,rest,left,20.0,3.0,205.38628509999944,2026-09-11T21:41:10.449951+00:00,3.00333430000137,,
