dataset,model,subject,seeds_averaged,test_trials_per_seed,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
local_exp4,scope,1,5,60,0.5633333333333332,5,0.5633333333333332,5,0.12666666666666662,5,0.5383342161608847,5,0.12666666666666665,5,0.5966666666666667,5,0.8559678328384772,5,0.5817741170510786,5,0.23220943888028467,5
local_exp4,scope,3,5,60,0.8433333333333334,5,0.8433333333333334,5,0.6866666666666668,5,0.8428207339101389,5,0.6866666666666668,5,0.9226666666666669,5,0.37802459284563134,5,0.23200442775675004,5,0.11274640123049418,5
local_exp4,scope,4,5,60,0.6433333333333333,5,0.6433333333333333,5,0.28666666666666674,5,0.6102870390771208,5,0.2866666666666667,5,0.7022222222222222,5,0.7232581420321789,5,0.48566765284572433,5,0.18614918808142342,5
local_exp4,scope,5,5,60,0.9266666666666667,5,0.9266666666666667,5,0.8533333333333333,5,0.9264731133797927,5,0.8533333333333333,5,0.979111111111111,5,0.19748341348817447,5,0.11680480116480126,5,0.054598979155222584,5
local_exp4,scope,6,5,60,0.8700000000000001,5,0.8700000000000001,5,0.74,5,0.8592168367581096,5,0.74,5,0.8962222222222224,5,0.27579352948957825,5,0.1741613925954472,5,0.07733299394448598,5
local_exp4,scope,7,5,60,0.5366666666666667,5,0.5366666666666667,5,0.07333333333333339,5,0.4539242295552145,5,0.07333333333333332,5,0.5371111111111111,5,0.8881471569983888,5,0.6216718313788286,5,0.26648819764455156,5
local_exp4,scope,8,5,60,0.5433333333333333,5,0.5433333333333333,5,0.08666666666666667,5,0.5062124365282559,5,0.08666666666666664,5,0.5924444444444446,5,0.8072369912345799,5,0.5755420278828925,5,0.24531506041685738,5
local_exp4,scope,10,5,60,0.7366666666666667,5,0.7366666666666666,5,0.4733333333333333,5,0.7342870162192245,5,0.4733333333333333,5,0.8157777777777777,5,0.6490373483612959,5,0.3844906967712117,5,0.1751035769780477,5
local_exp4,free_scope,1,5,60,0.5833333333333333,5,0.5833333333333333,5,0.1666666666666666,5,0.5686750870971082,5,0.16666666666666666,5,0.6542222222222223,5,0.8338402313373983,5,0.5535562359935565,5,0.2245892252524694,5
local_exp4,free_scope,3,5,60,0.86,5,0.86,5,0.72,5,0.8593126617542636,5,0.72,5,0.9393333333333332,5,0.33334809137232735,5,0.20012976019145853,5,0.08827298283576965,5
