model,comparator,seed,dataset,subjects,balanced_accuracy_difference
cardinal,tcformer,47,cho2017,52,-0.015721153846153843
cardinal,tcformer,47,physionet_mi,54,0.04180085882984432
cardinal,tcformer,47,EQUAL_DATASET_OVERALL,132,-0.017472551066753966
free_cardinal,tcformer,7,local_exp4,8,-0.052083333333333356
free_cardinal,tcformer,7,bnci2014_001,9,0.01195987654320989
free_cardinal,tcformer,7,bnci2014_004,9,-0.0157242063492063
free_cardinal,tcformer,7,cho2017,52,-0.021955128205128203
free_cardinal,tcformer,7,physionet_mi,54,0.03887978299210185
free_cardinal,tcformer,7,EQUAL_DATASET_OVERALL,132,-0.007784601670471225
free_cardinal,tcformer,17,local_exp4,8,-0.03958333333333333
free_cardinal,tcformer,17,bnci2014_001,9,-0.03433641975308647
free_cardinal,tcformer,17,bnci2014_004,9,-0.03154761904761906
free_cardinal,tcformer,17,cho2017,52,-0.013830128205128219
free_cardinal,tcformer,17,physionet_mi,54,0.014225458518936777
free_cardinal,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.02101440836404606
free_cardinal,tcformer,27,local_exp4,8,-0.03958333333333336
free_cardinal,tcformer,27,bnci2014_001,9,-0.027777777777777766
free_cardinal,tcformer,27,bnci2014_004,9,-0.029960317460317472
free_cardinal,tcformer,27,cho2017,52,-0.02064102564102565
free_cardinal,tcformer,27,physionet_mi,54,0.016972258820084903
free_cardinal,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.020198039078473867
free_cardinal,tcformer,37,local_exp4,8,-1.3877787807814457e-17
free_cardinal,tcformer,37,bnci2014_001,9,-0.03395061728395062
free_cardinal,tcformer,37,bnci2014_004,9,-0.022519841269841287
free_cardinal,tcformer,37,cho2017,52,-0.00980769230769231
free_cardinal,tcformer,37,physionet_mi,54,0.02353286139518023
free_cardinal,tcformer,37,EQUAL_DATASET_OVERALL,132,-0.008549057893260801
free_cardinal,tcformer,47,local_exp4,8,-0.002083333333333312
free_cardinal,tcformer,47,bnci2014_001,9,-0.03356481481481482
free_cardinal,tcformer,47,bnci2014_004,9,0.0019345238095237903
free_cardinal,tcformer,47,cho2017,52,-0.01790064102564102
free_cardinal,tcformer,47,physionet_mi,54,0.041089161107277034
free_cardinal,tcformer,47,EQUAL_DATASET_OVERALL,132,-0.0021050208513976655
cardinal_dynamics,tcformer,7,local_exp4,8,-0.0416666666666667
cardinal_dynamics,tcformer,7,bnci2014_001,9,0.0030864197530864274
cardinal_dynamics,tcformer,7,bnci2014_004,9,0.015327380952380978
cardinal_dynamics,tcformer,7,cho2017,52,0.011891025641025642
cardinal_dynamics,tcformer,7,physionet_mi,54,0.031139335034262566
cardinal_dynamics,tcformer,7,EQUAL_DATASET_OVERALL,132,0.003955498942817782
cardinal_dynamics,tcformer,17,local_exp4,8,-0.04791666666666666
cardinal_dynamics,tcformer,17,bnci2014_001,9,-0.03472222222222223
cardinal_dynamics,tcformer,17,bnci2014_004,9,-0.010763888888888906
cardinal_dynamics,tcformer,17,cho2017,52,0.004551282051282046
cardinal_dynamics,tcformer,17,physionet_mi,54,0.02658987215146636
cardinal_dynamics,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.012452324715005878
cardinal_dynamics,tcformer,27,local_exp4,8,-0.037500000000000006
cardinal_dynamics,tcformer,27,bnci2014_001,9,-0.02237654320987654
