level,dataset,model,prediction_count_including_seeds,accuracy,balanced_accuracy,chance_normalized_balanced_accuracy,macro_f1,cohen_kappa,ovr_macro_auroc,nll,multiclass_brier,ece
dataset,local_exp4,scope,2400,0.7079166666666666,0.7079166666666667,0.4158333333333335,0.7069617996558578,0.4158333333333334,0.7989215277777777,0.5968686259110382,0.3965146184308418,0.11605253386000791
dataset,local_exp4,free_scope,2400,0.7741666666666667,0.7741666666666667,0.5483333333333333,0.7736559779669545,0.5483333333333333,0.8808881944444444,0.4552828964795499,0.29825463496242405,0.080521411250035
dataset,local_exp4,cardinal,2400,0.8391666666666666,0.8391666666666666,0.6783333333333332,0.8391662199061665,0.6783333333333333,0.9214909722222222,0.35497794099556357,0.22731297305258286,0.02069230131804947
dataset,local_exp4,free_cardinal,2400,0.8854166666666666,0.8854166666666666,0.7708333333333333,0.8854156919043235,0.7708333333333334,0.9579722222222222,0.27561080490411255,0.16810502190686338,0.04376806668937208
dataset,local_exp4,cardinal_dynamics,2400,0.8883333333333333,0.8883333333333334,0.7766666666666668,0.8882270714311036,0.7766666666666666,0.9602515625,0.25916275890217955,0.1621641513464089,0.01582578244308632
dataset,local_exp4,cardinal_dynamics_compact,2400,0.8891666666666667,0.8891666666666667,0.7783333333333333,0.8891573528053399,0.7783333333333333,0.9620618055555556,0.25098857439103145,0.1568548991377033,0.027253572245438895
dataset,local_exp4,cardinal_dynamics_extended,2400,0.90625,0.90625,0.8125,0.9062499837239555,0.8125,0.9728520833333333,0.21474677202656683,0.13136686709069414,0.01972448195020358
dataset,local_exp4,cardinal_dynamics_sinc,2400,0.8720833333333333,0.8720833333333333,0.7441666666666666,0.8720827781370579,0.7441666666666666,0.9503680555555556,0.28580811238593223,0.17842011424823706,0.008693468446532869
dataset,local_exp4,cardinal_dynamics_sinc_residual,2400,0.87125,0.87125,0.7424999999999999,0.8712285157297945,0.7424999999999999,0.9518666666666666,0.28238503185678165,0.17451578022958372,0.012481432408094396
dataset,local_exp4,cardinal_dynamics_sinc_extended,2400,0.91625,0.91625,0.8325,0.9162278789242784,0.8325,0.9739166666666668,0.21406148338364436,0.12907743934196517,0.028688744530081772
dataset,local_exp4,eegnet,2400,0.83625,0.8362499999999999,0.6724999999999999,0.8359238702065964,0.6725,0.94236875,0.2872955986474667,0.18994672283702518,0.018039971068501446
dataset,local_exp4,shallow,2400,0.8766666666666667,0.8766666666666667,0.7533333333333334,0.8766624697645962,0.7533333333333333,0.9531881944444445,0.2764881984713607,0.17466526005037503,0.014507532492279996
dataset,local_exp4,deep4,2400,0.66625,0.66625,0.3325,0.653348735247621,0.3325,0.7740652777777777,0.5534248536034,0.39349881706255513,0.09926771715283395
dataset,local_exp4,eegconformer,2400,0.8895833333333333,0.8895833333333334,0.7791666666666668,0.8894243616560544,0.7791666666666667,0.945670138888889,0.3864276568148638,0.19305216989315557,0.08142635310689608
dataset,local_exp4,eegconformer_compact,2400,0.87375,0.87375,0.7475,0.8736629458736411,0.7475,0.9395722222222223,0.41783729183025026,0.21484492261108726,0.08981577850878232
dataset,local_exp4,atcnet,2400,0.8391666666666666,0.8391666666666666,0.6783333333333332,0.8391611936795071,0.6783333333333333,0.9365784722222222,0.33556822504210954,0.21233489040538905,0.04155396687487757
dataset,local_exp4,atcnet_aggressive_pool,2400,0.8670833333333333,0.8670833333333333,0.7341666666666666,0.8670827564355748,0.7341666666666666,0.9556666666666667,0.2728833168836219,0.1734176518036665,0.02769043597082297
dataset,local_exp4,fbcnet,2400,0.90625,0.90625,0.8125,0.9062343561139281,0.8125,0.9739798611111112,0.23082992687659612,0.13677541812031357,0.04725983959933121
dataset,local_exp4,cardinal_fbc,2400,0.8983333333333333,0.8983333333333333,0.7966666666666666,0.8982926503934907,0.7966666666666666,0.9695270833333334,0.24433289824340776,0.14692171448115612,0.04615276192625363
dataset,local_exp4,cardinal_fbc_extended,2400,0.9066666666666666,0.9066666666666666,0.8133333333333332,0.9066479314251263,0.8133333333333334,0.9742625,0.22994650255913862,0.13615017999000087,0.04708524763584136
dataset,local_exp4,cardinal_fbc_corr,2400,0.88875,0.88875,0.7775000000000001,0.8887175232910854,0.7775,0.9663402777777778,0.248610516801949,0.15175149813462804,0.03972016351918378
dataset,local_exp4,cardinal_fbc_corr_extended,2400,0.9033333333333333,0.9033333333333333,0.8066666666666666,0.9033161450924608,0.8066666666666666,0.9730368055555556,0.22887371320973746,0.13668866366383162,0.03998715281486513
dataset,local_exp4,cardinal_fbc_compactdyn,2400,0.8841666666666667,0.8841666666666667,0.7683333333333333,0.884165379615329,0.7683333333333333,0.9612291666666667,0.2587583663769576,0.16046757963464478,0.02553575530648232
dataset,local_exp4,cardinal_fbc_compactdyn_extended,2400,0.9020833333333333,0.9020833333333333,0.8041666666666667,0.9020727075420509,0.8041666666666667,0.9682208333333334,0.2350936249334519,0.14172261737237354,0.02601928703486919
dataset,local_exp4,cardinal_fbc_compactdyn_scale010,2400,0.8941666666666667,0.8941666666666667,0.7883333333333333,0.8941454222409915,0.7883333333333333,0.9687638888888889,0.24616408957327318,0.14830716175660086,0.05346668447057411
dataset,local_exp4,cardinal_fbc_compactdyn_scale010_extended,2400,0.91,0.9099999999999999,0.8199999999999998,0.9099877483324119,0.8200000000000001,0.9751270833333334,0.22697535259609702,0.13368459915549635,0.04902656505505243
dataset,local_exp4,cardinal_fbc_compactdyn_scale025,2400,0.89625,0.89625,0.7925,0.8962368674785403,0.7925,0.9691930555555555,0.24341653702487623,0.14717614047260952,0.040577031945188836
dataset,local_exp4,cardinal_fbc_compactdyn_scale025_extended,2400,0.9125,0.9125000000000001,0.8250000000000002,0.9124961109382639,0.825,0.9749833333333333,0.22412306025883216,0.13182579985348702,0.04621036469936369
dataset,local_exp4,cardinal_fbc_micro,2400,0.8908333333333334,0.8908333333333334,0.7816666666666667,0.8908114197918888,0.7816666666666667,0.9651944444444445,0.2536202319922368,0.15299588918909465,0.0440685620407264
dataset,local_exp4,cardinal_fbc_micro_extended,2400,0.9075,0.9075,0.815,0.9074874080083122,0.815,0.97245625,0.23075980878399785,0.13704727772423267,0.04970401356617611
dataset,local_exp4,cardinal_fbc_physical,2400,0.895,0.895,0.79,0.8949835911861228,0.79,0.9643791666666666,0.256310711090056,0.1550467968102581,0.042059005076686494
dataset,local_exp4,cardinal_fbc_physical_extended,2400,0.9079166666666667,0.9079166666666667,0.8158333333333334,0.9079013008941248,0.8158333333333333,0.9728152777777779,0.23007113914605243,0.13674510579511395,0.04644409815470377
dataset,local_exp4,eegtcnet,2400,0.7083333333333334,0.7083333333333334,0.41666666666666674,0.7073374677722807,0.41666666666666663,0.8206472222222223,0.4756227864553252,0.32692845406889687,0.020595735237002387
dataset,local_exp4,fbmsnet,2400,0.9095833333333333,0.9095833333333333,0.8191666666666666,0.9095424861122183,0.8191666666666666,0.9749138888888889,0.23029971922530468,0.1356311797513122,0.05138599433004856
dataset,local_exp4,cardinal_fbms,2400,0.8920833333333333,0.8920833333333333,0.7841666666666667,0.892065325482255,0.7841666666666667,0.96256875,0.26110405061948977,0.15919463840994874,0.04022954409321152
dataset,local_exp4,cardinal_fbms_extended,2400,0.90875,0.90875,0.8174999999999999,0.9087119474628227,0.8175,0.9750131944444445,0.22999288372395219,0.1353534553017056,0.051123876298467326
dataset,local_exp4,cardinal_mix,2400,0.82125,0.82125,0.6425000000000001,0.8212075057422502,0.6425000000000001,0.9044930555555555,0.39177678026970936,0.2528984017250708,0.02506575539708137
dataset,local_exp4,cardinal_mix_drop,2400,0.8316666666666667,0.8316666666666667,0.6633333333333333,0.8316647962755142,0.6633333333333333,0.9219333333333333,0.35433357432833085,0.22868358305985675,0.020678255607684458
dataset,local_exp4,ctnet,2400,0.8691666666666666,0.8691666666666666,0.7383333333333333,0.8691372225417385,0.7383333333333333,0.9555145833333332,0.2665622263908701,0.17199717597223826,0.013042932202418669
dataset,local_exp4,ctnet_compact,2400,0.8291666666666667,0.8291666666666666,0.6583333333333332,0.8289571391621403,0.6583333333333333,0.9255229166666665,0.3356389259160279,0.22216804228331724,0.018983498190840137
dataset,local_exp4,eegsym,2400,0.62625,0.62625,0.25249999999999995,0.6232827631390374,0.25249999999999995,0.7090008680555555,0.5595364139778883,0.39526164163398614,0.033926691884795857
dataset,local_exp4,eegsym_wide,2400,0.8620833333333333,0.8620833333333333,0.7241666666666666,0.8620779457530893,0.7241666666666666,0.9535368055555555,0.28179736095465074,0.17989428889373543,0.03307379856705668
dataset,local_exp4,tcformer,2400,0.9120833333333334,0.9120833333333334,0.8241666666666667,0.9120496037456032,0.8241666666666667,0.97665,0.19978555568275486,0.12189204335589343,0.018161909878253918
dataset,bnci2014_001,scope,12960,0.4358796296296296,0.4358796296296297,0.24783950617283956,0.43354256303938193,0.24783950617283945,0.710716806698674,1.3957972477134841,0.7231114068443327,0.19271698516598088
dataset,bnci2014_001,free_scope,12960,0.5520061728395061,0.5520061728395061,0.4026748971193415,0.5511384780468175,0.40267489711934157,0.8114822118071432,1.0915222482978688,0.5836072661441567,0.12854777101979215
dataset,bnci2014_001,cardinal,12960,0.7010030864197531,0.7010030864197531,0.6013374485596708,0.7006123310263509,0.6013374485596708,0.902063840782655,0.7571054373065663,0.4110332535069439,0.016447479135276347
dataset,bnci2014_001,free_cardinal,12960,0.7003086419753086,0.7003086419753086,0.6004115226337449,0.6998459906820873,0.6004115226337449,0.9013573340573084,0.7604248049956316,0.4128334688864315,0.014538286994268845
dataset,bnci2014_001,cardinal_dynamics,12960,0.7007716049382716,0.7007716049382715,0.601028806584362,0.7007444749975695,0.6010288065843621,0.9049390654371792,0.7510373900349081,0.4079352857014359,0.02617035725234469
dataset,bnci2014_001,cardinal_dynamics_compact,12960,0.6983796296296296,0.6983796296296296,0.5978395061728395,0.698168339604229,0.5978395061728394,0.9049907994843267,0.7483957589495958,0.406788772965966,0.02287378033830058
dataset,bnci2014_001,cardinal_dynamics_extended,12960,0.7060956790123457,0.7060956790123456,0.6081275720164608,0.7060657329621288,0.608127572016461,0.9077452782858304,0.7374011056426382,0.3998869772774935,0.018440751572725927
dataset,bnci2014_001,cardinal_dynamics_sinc,12960,0.7042438271604938,0.7042438271604938,0.6056584362139917,0.7038313132440362,0.6056584362139918,0.9101165306038206,0.7302959368472897,0.3968987022777395,0.017339438016032
dataset,bnci2014_001,cardinal_dynamics_sinc_residual,12960,0.7064043209876543,0.7064043209876543,0.6085390946502057,0.7061364712002011,0.6085390946502058,0.9118568688716151,0.7206215965036998,0.3932317534284791,0.01718348802561746
dataset,bnci2014_001,cardinal_dynamics_sinc_extended,12960,0.7101851851851851,0.7101851851851851,0.6135802469135802,0.7099205099778513,0.6135802469135803,0.9123007600149876,0.7229458713096836,0.3931557581784224,0.021890923702790457
dataset,bnci2014_001,eegnet,12960,0.47530864197530864,0.47530864197530864,0.3004115226337449,0.4708281712504449,0.3004115226337448,0.7773534823832748,1.0366362019464364,0.5630458875141716,0.041921602228633406
dataset,bnci2014_001,shallow,12960,0.6543981481481481,0.6543981481481481,0.5391975308641975,0.6541511278742747,0.5391975308641975,0.875204959546309,0.8720166573942402,0.46957278175492323,0.060840312278841055
dataset,bnci2014_001,deep4,12960,0.31265432098765433,0.3126543209876543,0.0835390946502057,0.30483600321507937,0.08353909465020581,0.5959002692678962,1.3543725597595393,0.7347836189210842,0.04506816971863127
dataset,bnci2014_001,eegconformer,12960,0.6180555555555556,0.6180555555555556,0.49074074074074076,0.6178153599117131,0.4907407407407407,0.859519386177158,1.0730874750189643,0.5344453239988747,0.1590001473962157
dataset,bnci2014_001,eegconformer_compact,12960,0.6260030864197531,0.6260030864197531,0.5013374485596708,0.6261945599275859,0.5013374485596708,0.8641109356741858,1.0264033576827962,0.5124748483430062,0.14356715462779926
dataset,bnci2014_001,atcnet,12960,0.6277006172839507,0.6277006172839507,0.5036008230452675,0.6276196260654356,0.5036008230452675,0.8741896362025605,0.8634936556680263,0.4747875492655742,0.07134209472318125
dataset,bnci2014_001,atcnet_aggressive_pool,12960,0.6192129629629629,0.619212962962963,0.492283950617284,0.619069564747812,0.4922839506172839,0.8676299939986283,0.8866005097103197,0.48622860024327846,0.07665754899290611
dataset,bnci2014_001,fbcnet,12960,0.7456018518518519,0.7456018518518519,0.6608024691358025,0.745275799700778,0.6608024691358025,0.9301286484529797,0.6595169485705117,0.35609247292154816,0.06261391576931431
dataset,bnci2014_001,cardinal_fbc,12960,0.7499228395061729,0.7499228395061729,0.6665637860082305,0.7495403397820988,0.6665637860082305,0.9314338158245694,0.655296931189398,0.35286693626932064,0.0656314771944358
dataset,bnci2014_001,cardinal_fbc_extended,12960,0.7462191358024691,0.746219135802469,0.661625514403292,0.7457312087471553,0.6616255144032922,0.9302103893588376,0.6594325556927307,0.35543661526054543,0.06376855738553
