dataset,model,subject,seed,folds_concatenated,test_trials,accuracy,balanced_accuracy,chance_normalized_balanced_accuracy,macro_f1,cohen_kappa,ovr_macro_auroc,nll,multiclass_brier,ece
local_exp4,free_scope,1,47,1,60,0.5333333333333333,0.5333333333333333,0.06666666666666665,0.5064629847238543,0.06666666666666665,0.5288888888888889,0.9868602619401545,0.6653007863137065,0.2576824555794398
local_exp4,free_scope,3,7,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8660714285714286,0.7333333333333334,0.9344444444444444,0.3520144622656992,0.20167471935475687,0.09323614637056987
local_exp4,free_scope,3,17,1,60,0.8166666666666667,0.8166666666666667,0.6333333333333333,0.8153846153846154,0.6333333333333333,0.9255555555555556,0.3981731850704563,0.2495333891316536,0.1020775467157364
local_exp4,free_scope,3,27,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8665183537263625,0.7333333333333334,0.9511111111111111,0.29469263474442864,0.17955922710472347,0.07752452194690704
local_exp4,free_scope,3,37,1,60,0.8833333333333333,0.8833333333333333,0.7666666666666666,0.8825174825174825,0.7666666666666666,0.9544444444444444,0.2798477787308064,0.17579539193863095,0.06574717859427134
local_exp4,free_scope,3,47,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8660714285714286,0.7333333333333334,0.931111111111111,0.3420123960502462,0.19408607342752784,0.10277952055136366
local_exp4,free_scope,4,7,1,60,0.9166666666666666,0.9166666666666667,0.8333333333333335,0.9166435120866907,0.8333333333333334,0.9833333333333334,0.17720562769162324,0.10709760261468017,0.09282124241193133
local_exp4,free_scope,4,17,1,60,0.8,0.8,0.6000000000000001,0.7991071428571428,0.6,0.8677777777777778,0.5547982045911682,0.30633014173480455,0.12194344699382784
local_exp4,free_scope,4,27,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8653198653198653,0.7333333333333334,0.9455555555555555,0.3474456512620314,0.20251969020894267,0.09981396893660227
local_exp4,free_scope,4,37,1,60,0.9,0.9,0.8,0.8995535714285714,0.8,0.9566666666666668,0.28683666718683737,0.17478647623169172,0.07777502338091528
local_exp4,free_scope,4,47,1,60,0.7666666666666667,0.7666666666666666,0.5333333333333332,0.765625,0.5333333333333333,0.8955555555555557,0.4094629006030333,0.262261787962052,0.10787510971228281
local_exp4,free_scope,5,7,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,1.0,0.08420076852613102,0.04207478831095011,0.051636942227681504
local_exp4,free_scope,5,17,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,1.0,0.07290021377877036,0.027072390952953284,0.06377802093823755
local_exp4,free_scope,5,27,1,60,1.0,1.0,1.0,1.0,1.0,1.0,0.08500928971439531,0.03874794073463297,0.07193522055943805
local_exp4,free_scope,5,37,1,60,0.9166666666666666,0.9166666666666667,0.8333333333333335,0.916083916083916,0.8333333333333334,0.99,0.18165201929984007,0.10685562006483916,0.0586981664101283
local_exp4,free_scope,5,47,1,60,0.95,0.95,0.8999999999999999,0.949874686716792,0.9,0.9944444444444445,0.11874133183192799,0.06979465009707851,0.04957909584045407
local_exp4,free_scope,6,7,1,60,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666295884315907,0.9333333333333333,0.9977777777777778,0.10517145168257983,0.05756901176883422,0.03345723450183872
