dataset,model,jobs,parameter_count_mean,parameter_count_median,parameter_count_p95,parameter_count_min,parameter_count_max,selected_epoch_index_mean,selected_epoch_index_median,selected_epoch_index_p95,selected_epoch_index_min,selected_epoch_index_max,selected_epoch_count_mean,selected_epoch_count_median,selected_epoch_count_p95,selected_epoch_count_min,selected_epoch_count_max,selection_fit_seconds_mean,selection_fit_seconds_median,selection_fit_seconds_p95,selection_fit_seconds_min,selection_fit_seconds_max,refit_fit_seconds_mean,refit_fit_seconds_median,refit_fit_seconds_p95,refit_fit_seconds_min,refit_fit_seconds_max,test_inference_seconds_mean,test_inference_seconds_median,test_inference_seconds_p95,test_inference_seconds_min,test_inference_seconds_max,job_total_seconds_mean,job_total_seconds_median,job_total_seconds_p95,job_total_seconds_min,job_total_seconds_max,cuda_peak_memory_bytes_mean,cuda_peak_memory_bytes_median,cuda_peak_memory_bytes_p95,cuda_peak_memory_bytes_min,cuda_peak_memory_bytes_max,inference_ms_per_trial_mean,inference_ms_per_trial_median,inference_ms_per_trial_p95,inference_ms_per_trial_min,inference_ms_per_trial_max
bnci2014_001,atcnet,45,105012.0,105012.0,105012.0,105012.0,105012.0,92.0,92.0,178.2,12.0,196.0,93.0,93.0,179.2,13.0,197.0,195.69310049576063,198.7102038897574,311.28046825155616,74.22522589191794,312.1549170855433,157.2783044859767,156.758615154773,302.66043036431074,21.8836231790483,335.3051396217197,0.8520365230739116,0.851326497271657,0.8615683376789093,0.8394561987370253,0.8667561374604702,353.9924782230622,356.4952193722129,613.9255932148546,97.10404397174716,648.2720073144883,297284266.6666667,297287680.0,297326592.0,297246720.0,297328640.0,2.9584601495621934,2.9559947821932533,2.9915567280517683,2.9147784678368933,3.009569921737744
bnci2014_001,atcnet_aggressive_pool,45,105012.0,105012.0,105012.0,105012.0,105012.0,94.08888888888889,96.0,179.0,3.0,195.0,95.08888888888889,97.0,180.0,4.0,196.0,197.8792043439216,204.91410572826862,311.53444424122574,60.42888685129583,312.03267682529986,160.92476474994587,164.210540574044,304.6176499184221,6.73162629455328,331.88384911604226,0.852558011892769,0.8527348190546036,0.8611573297530413,0.8411911595612764,0.8617426995187998,359.829133653144,370.15224763937294,617.1343769598752,68.18078096397221,644.2109812386334,297286997.3333333,297287680.0,297328640.0,297246720.0,297349120.0,2.9602708746276707,2.9608847883840403,2.99012961719806,2.920802637365543,2.992162151106944
bnci2014_001,cardinal,45,20005.0,20005.0,20005.0,20005.0,20005.0,60.13333333333333,57.0,94.39999999999999,22.0,124.0,61.13333333333333,58.0,95.39999999999999,23.0,125.0,5.595139869882001,5.479029696434736,7.543312855064868,3.367746315896511,9.343851448968053,4.272639352372951,4.097437210381031,6.714072214066981,1.6001491956412792,8.87438490986824,0.008348611038592127,0.00832495465874672,0.00842924825847149,0.008261095732450485,0.009164266288280487,10.00685022647182,9.58254922926426,14.386316819861529,5.109997574239969,18.27503109164536,688626176.0,688626176.0,688626176.0,688626176.0,688626176.0,0.028988232772889328,0.028906092565092776,0.029268223119692672,0.028684360182119742,0.03182036905652947
bnci2014_001,cardinal_dynamics,45,25444.0,25444.0,25444.0,25444.0,25444.0,81.64444444444445,78.0,126.79999999999997,21.0,177.0,82.64444444444445,79.0,127.79999999999997,22.0,178.0,5.841661452998718,5.807555427774787,7.718998519703746,2.915756579488516,10.23547450080514,4.961389939900902,4.928175402805209,7.723377613723277,1.315353587269783,11.089931374415755,0.0052587548063861,0.005212375894188881,0.005376316606998444,0.005150187760591507,0.00658787414431572,10.940021787128515,10.826378406956792,15.329068408533931,4.3541211280971766,21.466631827875972,491448832.0,491448832.0,491448832.0,491448832.0,491448832.0,0.018259565299951735,0.018098527410378058,0.018667765996522374,0.017882596390942734,0.02287456300109625
bnci2014_001,cardinal_dynamics_compact,45,14956.0,14956.0,14956.0,14956.0,14956.0,80.64444444444445,82.0,129.6,15.0,147.0,81.64444444444445,83.0,130.6,16.0,148.0,5.840763075732522,5.9454275369644165,8.30257018469274,2.6368211396038532,9.255334617570043,4.933308273760809,4.885755889117718,7.899955429881811,0.9582458920776844,9.025117062032223,0.004855711965097321,0.004815623164176941,0.004879393056035042,0.00472717359662056,0.006473494693636894,10.910211924546294,10.972600424662232,16.342410660535098,3.734620578587055,18.421774243935943,387678720.0,387678720.0,387678720.0,387678720.0,387678720.0,0.016860110989921254,0.016720913764503267,0.016942337000121672,0.016413797210488055,0.02247741213068366
bnci2014_001,cardinal_dynamics_extended,45,35684.0,35684.0,35684.0,35684.0,35684.0,79.2,76.0,131.39999999999998,21.0,156.0,80.2,77.0,132.39999999999998,22.0,157.0,5.893914555634061,5.808359706774354,8.499770291894674,2.906386760994792,9.841458939015865,4.932382261256377,4.728489613160491,8.095498627424238,1.3075436148792505,9.808604784309864,0.005231773770517773,0.00522226095199585,0.005361407622694969,0.005142400041222572,0.00539766252040863,10.960424973691504,10.685490362346172,16.71992190480232,4.351790690794587,19.78753904812038,491533824.0,491533824.0,491533824.0,491533824.0,491533824.0,0.018165881147631156,0.018132850527763367,0.018615998689913087,0.017855555698689487,0.018741883751418855
bnci2014_001,cardinal_dynamics_sinc,45,10549.0,10549.0,10549.0,10549.0,10549.0,82.84444444444445,83.0,141.59999999999997,4.0,195.0,83.84444444444445,84.0,142.59999999999997,5.0,196.0,7.296574491593573,7.417258897796273,10.735597738623618,2.521160427480936,12.315762739628553,6.27334096369644,6.468859845772386,10.625500805303453,0.37275148555636406,14.63676174543798,0.005704191906584634,0.005674818530678749,0.005837282165884972,0.005596743896603584,0.006451817229390144,13.703773976903822,14.023969143629074,21.387882728129625,3.031340127810836,27.086687127128243,304315904.0,304315904.0,304315904.0,304315904.0,304315904.0,0.01980622189786331,0.01970423100930121,0.020268340853767264,0.019433138529873557,0.022402143157604668
bnci2014_001,cardinal_dynamics_sinc_extended,45,14389.0,14389.0,14389.0,14389.0,14389.0,87.26666666666667,86.0,142.6,4.0,185.0,88.26666666666667,87.0,143.6,5.0,186.0,7.563050966792637,7.599831847473979,11.012675588205457,2.5152124520391226,12.631029656156898,6.584149801441365,6.51958585344255,10.751517662033438,0.36380504071712494,14.243817990645766,0.005670748775204023,0.005673002451658249,0.0057453751564025875,0.005576876923441887,0.005857223644852638,14.279658850365214,14.324439255520701,21.904301829263567,3.0149430837482214,27.01395004428923,304349696.0,304349696.0,304349696.0,304349696.0,304349696.0,0.01969009991390286,0.01969792517936892,0.019949219293064542,0.01936415598417322,0.02033758210018277
bnci2014_001,cardinal_dynamics_sinc_residual,45,10797.0,10797.0,10797.0,10797.0,10797.0,85.37777777777778,85.0,154.79999999999995,5.0,176.0,86.37777777777778,86.0,155.79999999999995,6.0,177.0,10.634521695143647,10.778273038566113,17.094874006509777,3.5984752606600523,17.858157822862267,9.164696148658793,9.223391508683562,16.828194191679355,0.6419409420341253,19.361453959718347,0.008630296008454429,0.008597947657108307,0.008711037039756776,0.00840245746076107,0.010315455496311188,19.936960047359268,20.015739461407065,34.06204523853957,4.38275333493948,37.36219875141978,490446336.0,490446336.0,490446336.0,490446336.0,490446336.0,0.02996630558491121,0.029853984920514956,0.030246656388044357,0.029175199516531494,0.035817553806636065
bnci2014_001,cardinal_fbc,45,11524.0,11524.0,11524.0,11524.0,11524.0,116.35555555555555,117.0,173.6,39.0,185.0,117.35555555555555,118.0,174.6,40.0,186.0,8.929998509171936,9.04306717403233,11.807596510276198,4.396320002153516,11.890943728387356,8.09230716302991,8.130540134385228,12.025996129587293,2.7073230780661106,12.729298958554864,0.010229525632328457,0.010229602456092834,0.010280363634228707,0.010165197774767876,0.010306175798177719,17.15511362494694,17.34160289913416,23.957576806098224,7.24116195179522,24.761386528611183,422494720.0,422494720.0,422494720.0,422494720.0,422494720.0,0.0355191862233627,0.035519452972544566,0.03569570706329412,0.0352958256068329,0.03578533263256153
bnci2014_001,cardinal_fbc_compactdyn,45,26476.0,26476.0,26476.0,26476.0,26476.0,93.88888888888889,98.0,126.0,36.0,154.0,94.88888888888889,99.0,127.0,37.0,155.0,9.89499327921205,10.272236049175262,12.624106936901807,5.415121044963598,14.622612396255136,8.414844237143795,8.805862048640847,11.683284393325447,3.1424823254346848,13.843385681509972,0.013113843773802121,0.013110842555761337,0.013177307322621346,0.013037726283073425,0.013207325711846352,18.449644000579912,19.221443746238947,24.438326644897458,8.699855981394649,28.610192585736513,422623744.0,422623744.0,422623744.0,422623744.0,422623744.0,0.04553417977014626,0.04552375887417131,0.04575453931465745,0.04526988292733828,0.04585876983279983
bnci2014_001,cardinal_fbc_compactdyn_extended,45,35116.0,35116.0,35116.0,35116.0,35116.0,96.95555555555555,99.0,139.2,37.0,154.0,97.95555555555555,100.0,140.2,38.0,155.0,10.232378294070562,10.40600205026567,13.40004682764411,5.617523580789566,14.74448562785983,8.800856809235281,9.006520349532366,12.549165133759379,3.3543592151254416,14.119872618466616,0.01310607973072264,0.013091566041111946,0.013184881210327149,0.013020064681768417,0.01344713382422924,19.174017754445472,19.434656297788024,25.997935283184052,9.232142491266131,28.99255533516407,422696448.0,422696448.0,422696448.0,422696448.0,422696448.0,0.04550722128723139,0.045456826531638704,0.045780837535858154,0.04520855792280701,0.04669143688968486
bnci2014_001,cardinal_fbc_compactdyn_scale010,45,26476.0,26476.0,26476.0,26476.0,26476.0,113.53333333333333,112.0,170.2,45.0,185.0,114.53333333333333,113.0,171.2,46.0,186.0,11.44772990130716,11.29708556085825,15.387090233340858,6.221727451309562,15.591099616140127,10.30894161466923,10.03228159993887,15.548179150372741,4.086513552814722,16.734584856778383,0.013117439092861281,0.013117393478751183,0.013183217123150825,0.013002676889300346,0.013203548267483711,21.8977748281012,21.474453307688236,31.13837734237313,10.581309275701642,32.47067958302796,422623744.0,422623744.0,422623744.0,422623744.0,422623744.0,0.04554666351687946,0.04554650513455272,0.04577505945538481,0.04514818364340398,0.045845653706540666
bnci2014_001,cardinal_fbc_compactdyn_scale010_extended,45,35116.0,35116.0,35116.0,35116.0,35116.0,110.77777777777777,108.0,170.2,45.0,185.0,111.77777777777777,109.0,171.2,46.0,186.0,11.258169784231319,11.162881644442677,15.452570464462042,6.452952466905117,15.607376608997583,10.086723702069786,9.818378824740648,15.528707595542071,4.098009200766683,16.89820535108447,0.01310670454468992,0.01309204287827015,0.013176987692713738,0.013042636215686798,0.013415003195405006,21.485277482908632,21.126748038455844,31.07875583283603,10.695047453045845,32.61943502165377,422696448.0,422696448.0,422696448.0,422696448.0,422696448.0,0.04550939078017334,0.0454584822162158,0.04575342948858936,0.04528693130446805,0.046579872206267386
bnci2014_001,cardinal_fbc_compactdyn_scale025,45,26476.0,26476.0,26476.0,26476.0,26476.0,111.75555555555556,107.0,171.99999999999997,45.0,184.0,112.75555555555556,108.0,172.99999999999997,46.0,185.0,11.31285709279279,11.016622621566057,15.333410418778657,6.403784530237317,15.613035200163722,10.191251057883104,9.790137642994523,15.455048985406755,4.090061474591494,16.857077887281775,0.013105361701713667,0.013096656650304794,0.01318506821990013,0.0129986722022295,0.013209061697125435,21.642428365970652,20.9496014919132,30.913980195671318,10.640302404761314,32.61427488178015,422623744.0,422623744.0,422623744.0,422623744.0,422623744.0,0.04550472813095023,0.04547450225800276,0.045781486874653235,0.04513427847996354,0.045864797559463315
bnci2014_001,cardinal_fbc_compactdyn_scale025_extended,45,35116.0,35116.0,35116.0,35116.0,35116.0,106.46666666666667,104.0,157.79999999999998,45.0,184.0,107.46666666666667,105.0,158.79999999999998,46.0,185.0,10.905796217877004,10.862808484584093,15.091980547830461,6.152432959526777,15.601981116458774,9.670544412773516,9.57608062773943,14.477110208198427,4.097373330965638,16.8415846824646,0.013097804205285179,0.013097824528813362,0.013162143528461456,0.013007303699851036,0.013206692412495613,20.716419976784124,20.507325736805797,29.710562897473572,10.516203986480832,32.587157817557454,422696448.0,422696448.0,422696448.0,422696448.0,422696448.0,0.045478486823906865,0.04547855739171306,0.04570188725160228,0.045164248957816094,0.045856570876720876
bnci2014_001,cardinal_fbc_corr,45,15412.0,15412.0,15412.0,15412.0,15412.0,110.66666666666667,112.0,163.2,33.0,171.0,111.66666666666667,113.0,164.2,34.0,172.0,11.503782467875215,11.451970037072897,15.692027211934327,5.587465479969978,15.79075163975358,10.28654635283682,10.175308397039771,15.371639977395533,3.140000708401203,15.976435655727983,0.01220267882777585,0.012195471674203873,0.012261798977851868,0.012145841494202614,0.012266650795936584,21.927134184787672,21.727241851389408,31.20363089889288,8.851107712835073,31.85536812618375,422527488.0,422527488.0,422527488.0,422527488.0,422527488.0,0.042370412596443925,0.042345387757652335,0.042575690895318985,0.042173060743759073,0.04259253748589092
bnci2014_001,cardinal_fbc_corr_extended,45,18292.0,18292.0,18292.0,18292.0,18292.0,106.22222222222223,105.0,165.59999999999997,31.0,198.0,107.22222222222223,106.0,166.59999999999997,32.0,199.0,11.08953815702763,11.067608723416924,15.311745173856615,5.366643371060491,15.768154883757234,9.883164762043291,9.943479487672448,14.482312666997313,2.940531564876437,18.28198354318738,0.01220324726568328,0.01219647191464901,0.012260201573371887,0.012147631496191025,0.0122672189027071,21.110997185276613,21.147609109058976,29.931827541440725,8.447065265849233,34.17396350391209,422552064.0,422552064.0,422552064.0,422552064.0,422552064.0,0.04237238633917806,0.0423488608147535,0.042570144351985716,0.04217927602844106,0.0425945100788441
