dataset,model,subjects_averaged,aggregation,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
local_exp4,scope,8,mean_seeds_within_subject_then_mean_subjects,0.7079166666666666,8,0.7079166666666666,8,0.4158333333333334,8,0.6839444526985927,8,0.41583333333333333,8,0.7552777777777778,8,0.5968686259110381,8,0.3965146184308418,8,0.16874297954142095,8
local_exp4,free_scope,8,mean_seeds_within_subject_then_mean_subjects,0.7741666666666667,8,0.7741666666666667,8,0.5483333333333333,8,0.7612909189921326,8,0.5483333333333333,8,0.8430555555555556,8,0.4552828964795499,8,0.29825463496242405,8,0.13295184488097828,8
local_exp4,cardinal,8,mean_seeds_within_subject_then_mean_subjects,0.8391666666666666,8,0.8391666666666666,8,0.6783333333333333,8,0.8342674005763169,8,0.6783333333333335,8,0.9039722222222222,8,0.35497794099556357,8,0.22731297305258283,8,0.11526630642513433,8
local_exp4,free_cardinal,8,mean_seeds_within_subject_then_mean_subjects,0.8854166666666667,8,0.8854166666666667,8,0.7708333333333333,8,0.8847519116933082,8,0.7708333333333334,8,0.9469444444444445,8,0.2756108049041126,8,0.16810502190686338,8,0.09393273673951624,8
local_exp4,cardinal_dynamics,8,mean_seeds_within_subject_then_mean_subjects,0.8883333333333334,8,0.8883333333333334,8,0.7766666666666667,8,0.8867652238001429,8,0.7766666666666667,8,0.9497777777777777,8,0.25916275890217955,8,0.16216415134640894,8,0.0893734862158696,8
local_exp4,cardinal_dynamics_compact,8,mean_seeds_within_subject_then_mean_subjects,0.8891666666666667,8,0.8891666666666667,8,0.7783333333333333,8,0.8885509300721215,8,0.7783333333333333,8,0.9516944444444444,8,0.2509885743910315,8,0.1568548991377033,8,0.08250388632218043,8
local_exp4,cardinal_dynamics_extended,8,mean_seeds_within_subject_then_mean_subjects,0.90625,8,0.90625,8,0.8125,8,0.9058567428360331,8,0.8125,8,0.9619444444444445,8,0.21474677202656683,8,0.13136686709069412,8,0.07104181463519732,8
local_exp4,cardinal_dynamics_sinc,8,mean_seeds_within_subject_then_mean_subjects,0.8720833333333333,8,0.8720833333333333,8,0.7441666666666668,8,0.8711190663651738,8,0.7441666666666666,8,0.9286944444444445,8,0.28580811238593223,8,0.17842011424823706,8,0.09078932322561742,8
local_exp4,cardinal_dynamics_sinc_residual,8,mean_seeds_within_subject_then_mean_subjects,0.87125,8,0.8712500000000001,8,0.7425,8,0.8703307741028602,8,0.7424999999999999,8,0.9371111111111112,8,0.28238503185678165,8,0.1745157802295837,8,0.093833436469237,8
local_exp4,cardinal_dynamics_sinc_extended,8,mean_seeds_within_subject_then_mean_subjects,0.91625,8,0.91625,8,0.8325,8,0.9157058205253132,8,0.8324999999999999,8,0.9633055555555556,8,0.2140614833836444,8,0.12907743934196514,8,0.07890163871149222,8
local_exp4,eegnet,8,mean_seeds_within_subject_then_mean_subjects,0.83625,8,0.83625,8,0.6725000000000001,8,0.8154088882196487,8,0.6725,8,0.8766388888888889,8,0.2872955986474667,8,0.18994672283702518,8,0.05271913327276706,8
local_exp4,shallow,8,mean_seeds_within_subject_then_mean_subjects,0.8766666666666666,8,0.8766666666666667,8,0.7533333333333333,8,0.8760341388018582,8,0.7533333333333334,8,0.9380555555555554,8,0.27648819847136064,8,0.17466526005037503,8,0.08581408150494099,8
local_exp4,deep4,8,mean_seeds_within_subject_then_mean_subjects,0.66625,8,0.66625,8,0.33249999999999996,8,0.5837337588297357,8,0.33249999999999996,8,0.7532222222222222,8,0.5534248536034,8,0.3934988170625551,8,0.13833061123887697,8
local_exp4,eegconformer,8,mean_seeds_within_subject_then_mean_subjects,0.8895833333333333,8,0.8895833333333334,8,0.7791666666666668,8,0.8878807284778969,8,0.7791666666666668,8,0.9562777777777778,8,0.3864276568148638,8,0.19305216989315557,8,0.09174789741635322,8
local_exp4,eegconformer_compact,8,mean_seeds_within_subject_then_mean_subjects,0.87375,8,0.87375,8,0.7475,8,0.8710143187401362,8,0.7475,8,0.9500277777777778,8,0.41783729183025026,8,0.21484492261108729,8,0.10580171597500643,8
